text,label
"бой в работе АС Договора. Проблема с АС Договором. Не могут привязать в документы с ЭЦП «Решение о приостановке…» и другие документы. Всё висит, как в пятницу. Похоже, проблема общая.",8
"Разблокировка учетных записей. Можете, пожалуйста, разблокировать учетную запись Луниной Анны Александровны.",11
доступ к почте @str.mos.ru,13
"техпомощь. Ранее учетная запись Кондрашиной С.Г. в ЕПС работало в системе Оutlook, однако в настоящее время нету папок с письмами.",0
Активация SmartStaff. Просьба активировать мне приложение SmartStaff.,5
эцп. Просьба помочь перейти на новую электронную подпись.,7
"Не получается распечатать файл на принтере 7830_501. Коллеги говорят, что они сегодня печатали, все работало. «Устройства и принтеры» не открывается.",1
проблемы с отправкой писем с почты стр.мос.ру. Регулярно возникает такая ошибка.  Сложно отправлять письма.  !,0
"Обновить пароль. коллеги. Не могу зайти на str.mos.ru почту, так как давно ей не пользовалась. Просьба обновить пароль.  Телефон для связи 89159996622. Работаю сейчас удаленно     *_ *_C_*_*  *_ *_уважением, Миронова Анна_*_*  *_ *_Отдел подземных сооружений_*_*  *_ *_Тел. (499)723 — 11- 04 внутр. 0000_*_*  *_ *__*_*  *_ *_E-mail:_*_*   *_[ *_ amironova_* *_ @mggt.ru_* |mailto:amironova@mggt.ru] _*  *_ *__*_*   *_[ *_ mironovaaa1_* *_ @_* *_ str.mos_* *_ .ru_* |mailto:mironovaaa1@str.mos.ru] _*",13
"Б/О ""Искра""",36
"В кабинете 322 расположенный по адресу ул. Беломорская , д. 36 Д не работает телефон.",9
Программное обеспечение для работы с ЭП,5
STR. Восстановление пароля str,13
Арефьева Софья. У сотрудника группы согласования Арефьевой Софьи заблокировалась учетка.  Просьба разблокировать.   Спасибо.,11
Добрый день.  Мне необходимо восстановить доступ к @str.mos.ru,13
Важно! Срочно! ,3
Прошу восстановить допуск к почтовому ящику GoncharovaNY2@str.mos.ru,13
"По адресу Зорге, д.1. каб.710 ПЭО, на Xerox Altalink C8135 требуется заменить желтый картридж",4
"*Subject:* FW: Проблема в работе личного кабинета     Прошу помочь.       | ВНЕШНЯЯ ПОЧТА: | | Если отправитель почты неизвестен, не переходите по ссылкам, не сообщайте пароль, не запускайте вложения и сообщите коллегам из службы безопасности по адресу [ DITanishing@mos.ru|mailto:DITaishing@mos.ru] |      Возникла проблема при попытке записаться на прием через личный кабинет.   А именно в поле ""Номер договор"" автоматически предлагает выбрать нужный номер договора, при отправки заполненных данных для записи пишет об ошибке: - Введите номер договора; - Номер договора должен быть заполнен.   Прошу решить данный вопрос.",36
[GrasYA@str.mos.ru|mailto:GrasYA@str.mos.ru],13
На служебную записку В - АУП - 11225/22 от 29.08.2022   Ответственный от бухгалтерии за предоставление списка активных учетных записей ЕПС . – Базыкина Я.А.,36
"Прошу выдать учетную запись в Единой почтовой системе (единая почтовая система, почта @str.mos.ru) Щербаковой Л.А.(таб.№ 3078)    *_ *_С уважением,_*_*  *_ *__*_*  *_ *_Бандукова Зинаида Павловна_*_*   *_ *_e-mail:_*_*  *_+ *_+zkiseleva@mggt.ru+_*+_*  * ***  _____________________________________________",13
"доступ к почте @str.mos.ru. Мне необходимо восстановить доступ к почте @str.mos.ru   С уважением, Костюченко К.Е.",13
На служебную записку В - АУП - 11225/22 от 29.08.2022   Ответственный от бухгалтерии за предоставление списка активных учетных записей единая почтовая система . – Базыкина Я.А.,36
"Пользователь Мыкушкин Ян Васильев хотел бы отозвать сообщение, ""Список активных учетных записей единая почтовая система"".",36
Прошу восстановить пароль от почты LukyanovaMV2@str.mos.ru,13
случайно при смене пароля стояла русская раскладка клавиатуры. в результате смены пароля система новый пароль не принимает.,13
Удалите пожалуйста следующие учетные записи с компьютера 172.16.205.60/24 Bbabiy Dsineva Ekovalev Emaksaeva Etusnina IABDUGAPIROVA Iklimova Mvorozheykina Npatin,8
"Безопасность виндовс просит подтвердить пароль учетной записи аутлук [Kopaev@str.mos.ru|mailto:Kopaev@str.mos.ru]. Те пароли, что у меня есть, он не принимает. Помогите разобраться с проблемой. Спасибо.",8
"не печатает принтер . ПЭО (кабинет 710) просим помощи. Принтер AltaLink C 8135 – не печатает, требуется заменить сборник отходов.",4
"Добрый день, у меня не открываются АС Договор . у меня не открываются АС Договор, ничего не удается внести или поменять",15
"Тест      С Уважением, Иван.",36
системная ошибка,8
"Коллеги, В соответствии со служебной запиской Заместителя Управляющего Баранова А.В. от 29.08.2022 № В-АУП-11225/22 и в соответствии с приложенной служебной запиской, прошу Вас создать мне учетную запись на портале в ЕПС, почта @str.mos.ru.. Спасибо!",13
Отчёт. Добавьте пожалуйста столбец коэф.сложности в отчёт:,36
Проблема с microstation,15
"Картридж для принтера. Прошу заменить  желтый картридж для принтера Xerox WorkCentre 6515 в комнате №619.  С Уважением,  Инженер 2 категории группы № 1 отдела № 9 ГБУ «Мосгоргеотрест» Кирюхин Александр Михайлович [akiryukhin@mggt.ru|mailto:akkhin@mggt.ru]",4
Замена ФИО подписанта от МКА в Уведомлениях по ГЗ. К ПРЕДЫДУЩЕМУ ПИСЬМУ…. Просьба изменить ФИО с 29.08.2022г,36
Проблема с автокад,36
Не работает ПК,10
Отключение компьютера,8
СДО,36
разблокировать базу. Просьба разблокировать базу,15
эцп,7
"Виртуальная машина на тонком клиенте. Шалимовой Юлии Викторовны утром перестала работать почта, она обратилась по телефону в службу поддержки, специалист перезагрузил виртуальную машину в 10 утра, до сих пор ничего не работает. Пожалуйста настройте виртуальную машину.",3
"удаление проекта в сдо. Удалите, пожалуйста, проект служебной записки.    С уважением,  Начальник группы документооборота отдела инвентаризации и кадастровых работ ГБУ «Мосгоргеотрест»",36
Не работает ПК. На рабочем месте контролеров СПР ОВБ по адресу Ленинградский проспект д. 3 не включается ПК.  *На ПК подключена орано-пожарная сигнализация и видеонаблюдение.*   * *каб. 302**,10
В связи с ошибками в очереди службы x2db сервера Infowatch TM (172.16.12.151) необходимо выполнить сбор диагностической информации в соответствии с инструкцией разработчика програмное обеспечение.Данные диагностики прошу предоставить в Сектор ЗИ.,36
"единая почтовая система авторизация. Пришлите пожалуйста всю информацию для авторизации в единая почтовая система по работникам столовой.   С уважением, зав. столовой Казах Ы.И.",36
прислать учётные данные ЕПС,13
восстановление почтового ящика,13
Черниговская Анна не может зайти в свою учетную запись,11
Прошу восстановить пароль от диска МГГТ,21
При выполнении территориального запроса ИЧ возникает ошибка:   Сама модель в итоге пустая и ИЧ не нарезались.,36
"Прошу восстановить пароль для входа на mos.ru, начальнику группы по делам ГО и ЧС. | Духов Александр Владимирович | [DyukovAV@str.mos.ru|mailto:DovAV@str.mos.ru] |",13
Не могу подключиться к Dst00155 через rdp.,1
Прошу разблокировать мою учетную запись в АС-МГГТ.,12
Учётные записи,11
"Прошу восстановить пароль на почту [ErmakovNN@str.mos.ru|mailto:EkovNN@str.mos.ru] , т.к. по старому паролю не заходит",13
"Не сохраняются изменения (даты) в Ас Договор, виснет.",15
Не формируются финансовые документы,36
нет номера в письме,36
воронкова не может подключиться. ,8
просьба обновить Power BI Report Server – «Отдел кадастровых работ» - «Паспортизация» - «Паспортизация (Объемы для Главконтроля)».,36
почта mos.str.ru просит пароль до бесконечности и не запускает оутлук,13
"Помогите пожалуйста разблокировать учётную запись в базу данных. Пароль не помню.    _ _С уважением,__  _ _Главный специалист__  _ _отдела инвентаризации и кадастровых работ__  _ _ГБУ «Мосгоргеотрест»__  _ _Сасонов У.У.__   _ _Тел.: 8-495-230-10-02 доб.__  _ _57___ _-___ _89__  _ _Моб. +7___ _-___ _910___ _-___ _139___ _-___ _66___ _-___ _47__",15
"Отправлено средством выделения фрагментов экрана. При запросе в бд 1:10000 выпадает такая ошибка,после этого перестает работать информационные ресурсы и так целый день. Прошу исправить.",37
Блоки питания для SIP-Телефона T58A,28
"Вышла из строя видеокарта. Есть возможность перемещения ПК из ком.212 . ул. Лавочкина 3А , 1 этаж,ком.404.",8
Письма опять подвисают в папке Исходящие,3
Просьбу удалить оракловую сессию (T34) с sid 3427,36
Мне необходимо заменить пароль в АС МГГТ.,15
"замена тонер-картриджа. Это бухгалтерия, 817 кабинет Замените пожалуйста голубой тонер-картридж в принтере  AltaLink C8030 Заранее спасибо!",4
Замена мышки,28
Свяжитесь пожалуйста с Гришиной Татьяной (89152440736). Находится на удаленке. Просрочен пароль.,14
"Согласно данным из вложения, установите мне, пожалуйста, ЭЦП на рабочую машину и в АС-договор. Тел. 8-911-985-89-14    _ _С уважением,__   _ _Иванова Александра Витальевна__  _ _Кадастровый инженер отдела инвентаризации__  _ _и кадастровых работ ГБУ «Мосгоргеотрест»__    ЭЦП и файл cer в архивах       С уважением,     *Единый Портал Торгов*       *+7(3982) 585-223***  *[http://ept72.ru/|http://ept72.ru/]*               Понедельник, 29 августа 2022, 10:07 +05:00 от Иванова Ивана Ивановича <[iva@mggt.ru|mailto:via@mggt.ru]>:        Необходимые документы во вложении.    _ _С уважением,__   _ _Иванова Иван Иванович__  _ _Кадастровый инженер отдела инвентаризации__  _ _и кадастровых работ ГБУ «Мосгоргеотрест»__         *From:* Единый Портал Торгов <[info@ept72.ru|/compose?To=info@ept72.ru]>  *Sent:* Thursday, August 25, 2022 2:42 PM  *To:* Иванова Александра Витальевна <[ia@MGGT.RU|/compose?To=ia@MGGT.RU]>  *Subject:* Заявление №1000087 Иванова Александра Витальевна.pdf.pdf, Образец фото с паспортом и заявлением1.JPG  *Importance:* High      Просим поставить  *подпись строго как в паспорте*  и выслать  *сканы запроса и заявления*. Факсимиле не допустимо. Подпись должна быть синего цвета. Также просьба, произвести фотоидентификацию (сделать фото) *владельца ЭЦП с подписанным заявлением и паспортом в руках* (В  *правой* руке развернутый паспорт на странице с фото, в  *левой* руке заявление). Фото должно быть качественным, чтоб текст в паспорте и заявлении четко читался.  Важно: Если Вам позвонят из УЦ Айтиком и спросят, кто Вас идентифицировал, сообщите, что  *Стас* –  *сотрудник ООО «ЕПТ»* (это я) *.*     С уважением,     *Единый Портал Торгов*       *+7(3452) 585-223***  *[http://ept72.ru/|http://ept72.ru/]*",7
"Не работает отчет из АС-Договор (Отчеты – оплата, акты, претензии – поступления – нет доплаты). Выдает вот такие картинки. Прошу решить вопрос.",37
"Проблема с доступом к виртуальной машине. У двух сотрудников моей бригады проблема с доступом к виртуальной машине. Как я понял изменился пароль и они не могут подключиться. Сотрудники  *Воропаева М. Н*. и  *Зуева Н.В.* Как я понял они связывались уже с поддержкой, но просили продублировать заявку на почту. Так же им продлили срочные контракты до апреля 2022 года. Какие то документы необходимо предоставить?   Спасбио.",22
Письма опять подвисают в папке Исходящие. ,3
"Установка ПО на телефон. В связи с разъездном характером работы, прошу оказать содействие в настройке на смартфоне ПО для прочтения и отправки электронных писем и просмотра задач в система документооборота.",18
"Прошу предоставить выгрузку системных журналов, журнала приложений с сервера InfoWatch Device Monitor",36
Прошу настроить NSproject. ,36
Не работает отчет из АС-Договор,37
"Лексутов Д.У.   _ _С уважением,__   _ _Начальник отдела договоров__   _ _и производственной диспетчеризации__  _ _Д.Н. Макеев__",36
"почта в mggt.ru.. Прошу выдать пароль для почтового ящика в домене mggt.ru.   Кузнецову Александру Ивановичу (таб.№ 1202)    *_ *_С уважением,_*_*  *_ *__*_*  *_ *_Боброва Заинона Пыпкина_*_*  *_ *_Специалист по д/о 1 кат._*_*  *_ *_ГБУ «Московский городской трест_*_*  *_ *_геолого-геодезических и картографических работ»_*_*  *_ *__*_*  *_ *_тел_*_**_ *_: +7 (495) 789-55-44_*_*  *_ *_вн_*_**_ *_. 42-01_*_*  *_ *_e-mail:_*_*  *_+ *_+zkiseleva@mggt.ru+_*+_*  * ***  _____________________________________________",3
"Включить копьютер. Включите пжста компьютер IITP_110_09.mggt находился не 7-м этаже, в закутке рядом с кабинетом Васиной Ю.А.",36
Арефьева Софья,11
"Учетные данные единая почтовая система для первоначального входа. Прошу выдать учетную запись в Единой почтовой системе (единая почтовая система, почта @str.mos.ru) Щербаковой Л.А.(таб.№ 3078)    *_ *_С уважением,_*_*  *_ *__*_*  *_ *_Бандукова Зинаида Павловна_*_*   *_ *_e-mail:_*_*  *_+ *_+zkiseleva@mggt.ru+_*+_*  * ***  _____________________________________________",13
Список активных учетных записей единая почтовая система,36
Не работают АС Договора с утра,15
"не работает СДО!!. Просьба решить проблему в ближайшее время, так как не могу работать",18
"Прошу заменить картридж, принтер  *PRN0001* (Xerox phaser 3260). Ком.613",4
"Пробовала перезагрузить, не помогает.    _ ___",8
RE: Истечение срока действия пароля,8
Отвалилась БД,37
Проблема с доступом к виртуальной машине,22
"Перемещение монитора между работниками. просьба поменять между работниками ПЭО монитор Бакуновой М.А. инвентарный № ZZWV4ZN300124E поменять с монитором Полятковой О.В. инвентарный № 2101340000002208. Так же просьба поменять местами в кабинете по адресу Зорге д.1, 7 этаж, кабинет 710",8
Уважаемые коллеги. Прошу оказать помощь в получении пароля и логина для входа в «SmartStaff»,36
У Сухиной Аллы закончился пароль на вход в  Sisco,11
"Связаться с Хатари Олегом (207 каб, Зорге, 1) и попросить у него 3 блока питания для SIP-Телефона T58A. Отправить их рейсовым на Лавочкина, 23А.",28
"отправьте во второй отдел 2 розово/синих головы, и 1 черную для HP T7100, спасибо.",36
у Новожиловой был заменен комп. на новом компе нет 1с. имя нового компа DST00872,5
"Заблокирована учетка. Пришло уведомление, что нужно сменить пароль. Т.к. работаю удаленно, то пытался изменить сочетанием клавиш CTRL+ALT+END. Никакой реакции. Пытался в настройках самостоятельно изменить, там кнопка тоже неактивна, прилагаю скриншот в сообщении",11
не могу подключиться. Не могу подключиться к Dst00155 через rdp.,1
ас договор не работает. Не работают АС Договора!,15
почта @str.mos.ru ,36
<Пустая тема>,11
"В связи с разъездном характером работы, прошу оказать содействие в настройке на смартфоне програмное обеспечение для прочтения и отправки электронных писем и просмотра задач в система документооборота.",18
"ЕПС. Восстановить пароль ЕПС Фролов П,А.",13
"Спасибо.-----Original Message-----From: HelpDesk <helpdesk@mggt.ru> Sent: Monday, January 10, 2022 7:00 AMTo: Тельпук Геннадий Афанасьевич <gtelpuk@mggt.ru>Subject: Истечение срока действия пароляУважаемый(ая) Тельпук Геннадий Афанасьевич!Срок действия пароля Вашей учётной записи для входа в систему истекает 21.01.2022 07:01.Во избежание неработоспособности, рекомендуется сменить пароль заранее.Для смены пароля следует нажать сочетание клавиш - CTRL+ALT+END при дистанционной работе или CTRL+ALT+DEL при работе локально и выбрать пункт «Изменить пароль»В случае затруднений, обратитесь в Сектор Эксплуатации по почте helpdesk@mggt.ru",14
Настроить ЭП. ,14
ошибка при отправке писем через система документооборота. система документооборота-При нажатии кнопки отправить на согласование письмо – долго крутит – и потом выдает –Ошибка при завершении задачи,18
Пароль на str.mos.ru,13
Установка ПО,5
FW: Сбой в работе АС Договор,15
"У группы документооборота на работает система документооборота.    С уважением, Костюченко К.Е.",18
О выделении телефонного аппарата В - ОВБ - 11081/22,28
"Пользователь Разлада Тарас Сергеевич хотел бы отозвать сообщение, ""Полезные советы по ИТ"".",36
не работает система документооборота,18
"Заблокирована учетная запись и доступ к почте. У меня заблокирована учётная запись и доступ к корпоративной почте. Остроумова Александра, ОКР   Прошу помочь в решении проблемы.   С уважением, Александра 89269751718               У меня заблокирована учётная запись и доступ к корпоративной почте. Остроумова Александра, ОКР   Прошу помочь в решении проблемы.",11
"ЕПС. У сотрудников ГПИР учетные записи в ЕПС активированы, но работают со сбоем!",13
Прошу помочь с переходом на новый сертификат ЭП,7
"В соответствии со служебной запиской В - АУП - 115/22 от 01.01.2022 Первый отдел направляет списки активных учетных записей единая почтовая система:  | Самошкин Дивина Владимировна |   +[ +SainDV@str.mos.ru+|mailto:SakhinDV@str.mos.ru] + |  + +dskhin@mggt.ru++ | | Сидр Колпак Васильевич |   +[ +SivAV2@str.mos.ru+|mailto:SivAV2@str.mos.ru] + |  + +avsidorov@MGGT.RU++ | | Кальмар Солнце Игоревна |   +[ +osisi1@str.mos.ru+|mailto:osisi1@str.mos.ru] + |  + +sova@mggt.ru++ | | Соловйе Иа Вячеслна |   +[ +soiv1@str.mos.ru+|mailto:soiv1@str.mos.ru] + |  + +isova@MGGT.RU++ | | Москва Няня Васильевна |   +[ +sobv@str.mos.ru+|mailto:sobv@str.mos.ru] + |  + +yva@MGGT.RU++ | |  |  |  |  С уважением, ведущий инженер Первого отдела ГБУ «Мосгоргеотрест» Бла бла бла, тел. 5752",36
"перезагрузка компьютера. Привет! Включите комп, пожалуйста",36
Не могу подключиться к тестовому компу  *Dst0079.mggt*,8
"настройка АРМ. Прошу выполнить необходимые настройки на рабочем месте работка ОКР Самсова А.Е., связанные с тестированием нового релиза РеИнформ   Круглова Татушкина ДодоновнаОтдел ВТИМ +7(961)9611866",8
почта str,13
T7200_Z2 выдает ошибку ,1
"Добрый день! Прошу настроить почту, которая str.mos",13
прошу настроить доступ к Рослторг. ,36
"проблема с АС Договор, завожу новую сводку, сохраняюсь, и все зависло   _С уважением,_",15
"FW: Сертификат № 434CB425E0DFBD608802D9E905800D3C67F7C491 готов. Настройте мне пожалуйста электронную подпись   *From:* uc_fk@roskazna.ru <uc_fk@roskazna.ru>   *Sent:* Friday, December 17, 2021 10:04 AM  *To:* Кислова Мария Викторовна <mkislova@MGGT.RU>  *Subject:* Сертификат № 434CB425E0DFBD608802D9E905800D3C67F7C491 готов",7
"Проблемы с входом в почту. Прошу содействия в настройке почты @str.mos.ru   _ _С уважением,__   _ _Инженер камеральной группы__  _ _Отдела инвентаризации и кадастровых работ__  _ _ГБУ «МОСГОРГЕОТРЕСТ»__  _  _ ___",13
системная ошибка. Системная ошибка в счетах. В исполнителях только Аблаев,8
"Прошу подключить Моськину Д. Е. к рассылке от Oracle:  Работы по наряду закрыты - Работы по наряду закрыты № % Изменение статуса заказа - Положительное заключение Изменение статуса заказа - Формирование результата (согласовано) Дополнительные материалы - Получен акт по заказу 9/%.   *_С уважением,_*  *_Трошкин Николай Владимирович_*  *_Начальник группы выдачи готовых материалов ОДиПД_*  *_ГБУ ""Мосгоргеотрест""_*  *_Эл.адрес: [ *_dog@mggt.ru_*|mailto:dog@mggt.ru]_*  *_Сайт: [ *_www.mggt.ru_*|http://www.mggt.ru/]_*  *_Телефон: (495) 045 32 76 доб.0011_*",36
"ПЭО (кабинет 710) просим помощи. Принтер AltaLink C 8135 – не печатает, требуется заменить сборник отходов.",4
"Открытие доступа к ресурсам . Ранее была служебная записка об открытии доступа к ресурсам, в частности к 2 ГИС карты и Яндекс карты, сейчас почему-то у меня эти ресурсы не работают, могли бы мне настроить их на рабочем компьютере?",20
"У Симоновой А.Д. помощникам в система документооборота не приходят письма.  Ранее поручения приходили всем (список ниже) как Конкурентная задача, на этой неделе письма поступают только Симоновой А.Д.  Список помощников Симоновой А.Д.: | Хохлова Ирина Сергеевна | | Дмитриевская Анастасия Александровна | | Бойкова Ксения Васильевна | | Романова Надежда Эдуардовна | | Гармаш Татьяна Игоревна |   1. Добавьте, пожалуйста, в помощники Симоновой А.Д, всех сотрудников, указанных в таблице. 2. Можно сделать так, чтобы уже имеющиеся письма в система документооборота увидели все помощники? {",36
эцп. Получен файл сертификата от Росказны. Необходимо установить.,5
После входа в единая почтовая система ( NosovDA@str.mos.ru ) выбрасывает из почты.. ,0
"С целью организации тестирования программных продуктов РеИнформ, прошу настроить АРМ сотрудников ОКР: · Маркин Евгений Николаевич · Киселев Сергей Владимирович",8
Удаленка,11
!,15
"После успешной установки PostgreSQL запустил Stack Builder для установкиPostGIS, а там отказ в доступе к URL!image-2022-08-25-14-05-10-462.png!",5
эл. подпись,7
Прошу создать учетную запись Машкунову В.М. для входа в систему. С/З В - 3 - 10922/22 от 22.08.2022,11
Помогите пожалуйста решить проблему. При запуске программы выдает ошибку и закрывает файл            * *С уважением**  * *Ведущий инженер Отдела №3**  * *ГБУ «Мосгоргеотрест»**  * *Матвеев М.Ю.**,36
8919 095 21 58,36
Подключение МФУ,1
"Пароль. Просьба выдать новый пароль Трофимову М.С, т.к. старый был введен неверно 3 раза",15
помощь со входом. ведущий инженер Кайгородов А.С. отдела № 2 не может войти в систему для удаленной работы. Просит связаться с ним по телефону и помочь. Спасибо,23
"Прошу разблокировать мой компьютер, зависла программа 1С.",10
"Включите пжста компьютер IITP_110_09.mggt находился не 7-м этаже, в закутке рядом с кабинетом Васиной Ю.А.",36
"прошу подключить компьютер Абрыганову П.С. в боксе 6а, помещение 5, 2-й этаж  Номер Абрыганова: 8-963-352-18-34  ----    _С уважением,_  _Инженер отдела №11_  _Каменский Игорь Дмитриевич_  _Тел. 13-01_",8
Учетные данные единая почтовая система для первоначального входа,13
"Не работают Интегратор и АС ""Договор""",15
логин и пароль. Когда будет выдан логин и пароль Машкунову В.М.? Служебная записка В-3-10922/22,11
Установка программы для Гамма-спектрометра. На новый компьютер в отделе №2,5
восстановить пароль. Прошу восстановить пароль от почты LukyanovaMV2@str.mos.ru,13
SmartStaff,5
RE: система документооборота срочный вопрос,36
FW: #600-267647: Программное обеспечение PrinCe (програмное обеспечение CHC CGO 2.0 RTK),5
"Отдел №2. Назначение ответственного за получение паролей для работников, не имеющих почтовых ящиков в домене mggt.ru. Для SmartStaff и учеток в единая почтовая система. Привет! Во исполнение распоряжения Балабанова А.В. о назначении ответственных.   Неожиданно в отделе №2 этот ответственный – Квадратов А.М (aktsov, т/н 256).  Активировать учетки в почте получается, зайти в приложение на mka-portal.mos.ru – не получилось ни у кого…  Если причины ошибки уже известны – отпишитесь, плз",13
Восстановление пароля,13
"СЗИ ЕПС ПМ. В соответствии с пунктом 3 служебной записки, направляю список работников Сектора ЗИ, имеющих активированные учетные записи в ЕПС ПМ:  1. Знатоков Ж.Б.  2. Колесов У.Ю.  3. Перов П.П.  4. Черчиль И.Н. в отпуске до 31.88.2022.  С уважением, Колесов Игнат Специалист по ЗИ ГБУ <Мосгоргеотрест>",36
"Прошу разблокировать учетный записи ниже представленных сотрудников, в связи с продлением их контракта: - Аккиева Татьяна Алексеевна, таб. 6822 - Малкова Анна Денисовна, таб. 6823 - Пылев Никита Алексеевич, таб. 6831 - Арефьева Софья Вадимовна, таб. 6825  Соответствующие документы можно запросить в Отделе Кадров",11
Не работают АС Договора!,15
"Можете, пожалуйста, разблокировать учетную запись Луниной Анны Александровны.",11
"Скачали данное приложение, практически весь отдел, а зарегистрироваться как??? Кто поможет, к кому обратиться, что делать дальше, может быть кто-то сможет дать алгоритм? Нужна помощь",5
Регулярно возникает такая ошибка.  Сложно отправлять письма.  !,0
Прошу сделать переадресацию в СДО в период моего отпуска c 29.08.2022 08:00 по 04.09.2022 23:59:59 на Микова Карина Иосифовна <kmikova@MGGT.RU>,18
Просьба активировать мне приложение SmartStaff.,5
"не работает СДО. У группы документооборота на работает СДО.    С уважением, Костюченко К.Е.",18
замена тоннера,4
